Частота (Гц),Sinc_MAE,Sinc_MaxErr,Sinc_SNR_dB,Lin_MAE,Lin_MaxErr,Lin_SNR_dB
1.0,0.002879500000000002,0.005759000000000004,13.228689555653348,513.9842946,1027.9685892,-91.80396576030775
5.0,0.014440499999999995,0.02888099999999999,14.392223349080261,2531.421783,5062.843566,-90.48342229101021
10.0,0.02915899999999999,0.05831799999999998,14.34190495131249,4814.8454915,9629.690983,-90.01428963388312
20.0,0.06070800000000001,0.12141600000000002,13.624648880693789,7790.2061075,15580.412215,-88.5414115713617
30.0,0.09818949999999999,0.19637899999999997,12.243403746100457,7790.0954915,15580.190983,-85.74615090968885
40.0,0.149596,0.299192,9.999346531492861,4814.5244715,9629.048943,-80.15332181403582
45.0,0.18867,0.37734,8.313656152492294,2531.006156,5062.012312,-74.238150887807
49.0,0.253512,0.507024,5.85158654313461,513.5002465,1027.000493,-60.27925615503236
